               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11526,            0.013356,            0.040102,           0.0025589,              0.6911,            0.035774,            0.010917,            0.099035,           0.0062129,            0.040166,              0.0793,              0.0023,              0.0023
                   1,            0.097869,            0.017994,            0.035981,             0.12582,            0.091201,             0.10806,            0.029308,            0.082484,           0.0073936,            0.033099,            0.057607,           0.0046069,           0.0046069
                   2,            0.083416,            0.019922,            0.032019,             0.26385,             0.26271,             0.26932,             0.11599,            0.070494,           0.0069067,            0.025495,            0.035819,           0.0068188,           0.0068188
                   3,            0.073313,            0.020077,            0.029068,             0.44399,             0.50448,             0.40767,              0.1486,            0.073273,            0.010459,            0.022356,            0.013936,           0.0089357,           0.0089357
                   4,            0.069588,            0.016925,            0.026832,             0.40522,             0.59827,             0.42349,             0.15551,            0.066985,           0.0091562,            0.019897,            0.009208,            0.009208,            0.009208
                   5,            0.063357,            0.016271,            0.026125,             0.46189,             0.47864,              0.4124,             0.18524,             0.06674,           0.0064421,            0.019102,            0.009208,            0.009208,            0.009208
                   6,            0.060869,            0.016247,            0.023129,             0.49027,             0.50702,             0.45466,             0.21855,            0.061242,           0.0054594,            0.017787,             0.00901,             0.00901,             0.00901
                   7,            0.058361,            0.014486,            0.022853,             0.52672,             0.55272,             0.50243,             0.20715,            0.057036,           0.0052734,            0.015336,            0.008812,            0.008812,            0.008812
                   8,            0.055193,            0.014114,            0.021186,             0.70523,             0.66243,             0.68742,             0.30386,            0.048765,           0.0049625,            0.013676,            0.008614,            0.008614,            0.008614
                   9,            0.053184,            0.014265,            0.020757,              0.7209,             0.50619,             0.60827,             0.33636,            0.045205,           0.0048679,            0.014961,            0.008416,            0.008416,            0.008416
                  10,            0.050973,            0.014062,            0.019641,             0.82184,              0.5159,             0.52706,             0.27655,            0.051223,           0.0048546,            0.021226,            0.008218,            0.008218,            0.008218
                  11,            0.050175,            0.013638,            0.019126,             0.82965,             0.51798,             0.62273,             0.35433,            0.046018,           0.0046883,            0.016719,             0.00802,             0.00802,             0.00802
                  12,            0.049502,            0.013437,            0.018776,             0.78346,             0.58901,             0.70021,             0.36724,            0.045273,           0.0047218,            0.012962,            0.007822,            0.007822,            0.007822
                  13,            0.048698,            0.013334,            0.018961,             0.70153,             0.70374,             0.66598,             0.34222,            0.043443,           0.0046191,            0.015007,            0.007624,            0.007624,            0.007624
                  14,            0.046054,            0.012827,             0.01654,             0.72858,             0.53665,             0.65953,             0.36888,            0.041574,           0.0045967,             0.01441,            0.007426,            0.007426,            0.007426
                  15,            0.043865,            0.012767,             0.01562,             0.78729,             0.58183,              0.7264,              0.3916,            0.040411,            0.004519,            0.014263,            0.007228,            0.007228,            0.007228
                  16,            0.045128,            0.012815,            0.015458,             0.69773,             0.76071,             0.75681,             0.36655,            0.041131,           0.0044521,            0.013632,             0.00703,             0.00703,             0.00703
                  17,            0.044728,            0.012439,            0.016184,             0.77467,              0.6565,             0.76573,              0.4185,             0.03802,           0.0043904,            0.014158,            0.006832,            0.006832,            0.006832
                  18,            0.045172,            0.012857,             0.01485,             0.76066,             0.58959,              0.7128,             0.40342,            0.040137,           0.0045187,            0.014401,            0.006634,            0.006634,            0.006634
                  19,            0.042872,            0.012271,            0.013372,             0.82578,             0.63218,             0.75995,             0.43946,            0.037555,           0.0043091,            0.012657,            0.006436,            0.006436,            0.006436
                  20,            0.041608,            0.011822,            0.012787,             0.83009,             0.64701,             0.70576,             0.39761,            0.039518,           0.0044005,            0.014919,            0.006238,            0.006238,            0.006238
                  21,            0.041972,            0.012343,            0.013189,             0.86303,             0.57921,             0.68007,             0.38078,            0.041067,            0.004512,            0.016869,             0.00604,             0.00604,             0.00604
                  22,            0.042077,            0.012621,            0.011829,             0.89037,             0.56098,              0.7083,             0.42874,            0.039282,           0.0042789,            0.016027,            0.005842,            0.005842,            0.005842
                  23,            0.039668,            0.012283,            0.010247,             0.84747,             0.60647,             0.70076,             0.41698,            0.039634,           0.0042735,            0.016625,            0.005644,            0.005644,            0.005644
                  24,            0.039768,            0.012165,            0.011214,             0.81249,             0.60877,             0.70956,             0.39488,            0.039063,           0.0042628,            0.017163,            0.005446,            0.005446,            0.005446
                  25,            0.038762,            0.011773,             0.01034,             0.66139,             0.70681,             0.70488,             0.41321,            0.037592,           0.0042599,            0.017134,            0.005248,            0.005248,            0.005248
                  26,            0.038646,            0.012504,            0.010492,              0.8321,             0.56715,             0.65787,             0.37712,            0.038029,           0.0041731,            0.021024,             0.00505,             0.00505,             0.00505
                  27,            0.037554,            0.011612,            0.009584,             0.67908,             0.65359,             0.67959,             0.39643,            0.037602,           0.0041756,            0.019295,            0.004852,            0.004852,            0.004852
                  28,            0.039669,            0.012451,            0.010983,             0.65897,             0.75565,             0.77214,             0.47468,            0.034148,           0.0040997,            0.016418,            0.004654,            0.004654,            0.004654
                  29,            0.037563,            0.011824,            0.010357,             0.90632,              0.5863,             0.74107,             0.45232,            0.034799,           0.0040228,            0.016693,            0.004456,            0.004456,            0.004456
                  30,            0.036005,            0.011571,           0.0094571,             0.84659,             0.58687,             0.74415,             0.44982,            0.033384,           0.0040649,            0.019028,            0.004258,            0.004258,            0.004258
                  31,            0.035927,             0.01191,           0.0099187,             0.85175,             0.58883,             0.74102,             0.44521,            0.033301,           0.0038689,            0.019653,             0.00406,             0.00406,             0.00406
                  32,            0.035288,            0.011592,           0.0091728,             0.83861,             0.58684,             0.72147,             0.44896,            0.034121,           0.0042422,            0.019467,            0.003862,            0.003862,            0.003862
                  33,            0.033666,            0.011182,           0.0087162,              0.8632,             0.57247,             0.65235,             0.39864,            0.037307,           0.0045349,            0.023193,            0.003664,            0.003664,            0.003664
                  34,             0.03598,            0.011949,           0.0093184,             0.85164,             0.58044,             0.69181,               0.414,            0.035226,           0.0043297,            0.020546,            0.003466,            0.003466,            0.003466
                  35,            0.034472,            0.011418,           0.0084308,             0.79328,             0.64124,             0.67615,             0.41243,            0.034277,           0.0042813,            0.021478,            0.003268,            0.003268,            0.003268
                  36,            0.035077,            0.011421,           0.0081011,             0.72092,             0.70438,             0.73473,             0.46126,            0.033691,           0.0043971,             0.02027,             0.00307,             0.00307,             0.00307
                  37,            0.033935,            0.011365,           0.0084661,             0.59349,               0.734,             0.73588,             0.47562,             0.03324,           0.0044434,            0.019537,            0.002872,            0.002872,            0.002872
                  38,            0.033545,            0.011388,           0.0088321,             0.64397,             0.75171,             0.77303,             0.50461,            0.032508,           0.0042899,            0.018287,            0.002674,            0.002674,            0.002674
                  39,            0.034002,             0.01101,           0.0074198,             0.72052,              0.7117,             0.76045,             0.47115,            0.033764,           0.0042906,            0.019219,            0.002476,            0.002476,            0.002476
                  40,            0.030832,            0.010815,           0.0067032,             0.86107,             0.63384,             0.72547,              0.4702,            0.032542,           0.0042615,            0.020348,            0.002278,            0.002278,            0.002278
                  41,            0.033383,            0.011369,           0.0076518,             0.85108,             0.62243,             0.67607,             0.41389,            0.033909,           0.0042241,            0.021805,             0.00208,             0.00208,             0.00208
                  42,            0.031924,            0.011037,           0.0077105,               0.895,             0.58792,             0.69504,             0.44542,            0.032044,           0.0040942,            0.019808,            0.001882,            0.001882,            0.001882
                  43,            0.031723,            0.011017,           0.0075556,             0.89696,             0.58422,              0.7357,             0.45111,            0.033562,           0.0040306,            0.019666,            0.001684,            0.001684,            0.001684
                  44,            0.032552,             0.01091,           0.0077923,             0.89331,             0.59825,             0.69635,             0.43825,            0.033882,           0.0041521,             0.01899,            0.001486,            0.001486,            0.001486
                  45,            0.031012,            0.011148,           0.0072186,             0.86226,              0.6023,             0.68895,              0.4275,            0.035075,           0.0041985,            0.018635,            0.001288,            0.001288,            0.001288
                  46,            0.030945,            0.010654,           0.0067093,             0.89242,             0.57945,             0.71912,             0.43399,            0.034175,           0.0041641,            0.019094,             0.00109,             0.00109,             0.00109
                  47,            0.031457,            0.011122,           0.0067875,             0.75415,             0.68365,             0.74169,             0.45016,            0.033356,           0.0041263,            0.017828,            0.000892,            0.000892,            0.000892
                  48,            0.029399,            0.010401,           0.0058649,             0.72083,             0.69782,             0.74629,              0.4678,            0.032747,           0.0041301,            0.018054,            0.000694,            0.000694,            0.000694
                  49,            0.030591,             0.01078,           0.0053624,             0.70415,             0.68994,             0.73063,             0.45186,            0.032862,           0.0041811,            0.018401,            0.000496,            0.000496,            0.000496
