               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051786,            0.017932,            0.015218,             0.84038,              0.8062,             0.87905,             0.50294,            0.027877,           0.0051189,           0.0091997,            0.070057,            0.003327,            0.003327
                   1,            0.037299,            0.011443,           0.0059364,              0.9167,             0.84805,             0.92543,             0.70653,            0.018269,           0.0045214,           0.0075019,            0.039892,           0.0064955,           0.0064955
                   2,             0.03464,            0.010677,           0.0055033,             0.90772,             0.83458,             0.89954,             0.66036,            0.018616,            0.005297,           0.0076318,           0.0095621,            0.009499,            0.009499
                   3,            0.032193,            0.010803,           0.0056906,             0.91446,             0.83855,             0.91086,             0.66378,            0.016992,           0.0051209,           0.0071426,           0.0092575,           0.0092575,           0.0092575
                   4,            0.029484,            0.010363,           0.0044665,             0.92749,             0.85205,             0.91196,             0.70748,            0.014702,            0.004853,           0.0079184,           0.0092575,           0.0092575,           0.0092575
                   5,            0.026873,           0.0098723,           0.0039236,             0.91285,             0.87091,             0.92756,             0.73171,            0.014364,           0.0045154,           0.0061903,             0.00901,             0.00901,             0.00901
                   6,            0.024975,           0.0093048,            0.003736,               0.922,             0.84405,             0.92676,             0.76023,            0.013934,           0.0044555,           0.0069228,           0.0087625,           0.0087625,           0.0087625
                   7,            0.024087,            0.009101,           0.0033933,             0.92532,             0.88099,             0.93303,             0.78519,            0.012874,           0.0040534,           0.0079865,            0.008515,            0.008515,            0.008515
                   8,            0.022923,           0.0088534,           0.0030366,             0.92828,             0.85247,             0.91524,             0.76939,            0.012599,           0.0041443,           0.0085231,           0.0082675,           0.0082675,           0.0082675
                   9,            0.022218,            0.008807,            0.003038,             0.90202,             0.89529,             0.94043,             0.79698,            0.011893,           0.0039304,           0.0064162,             0.00802,             0.00802,             0.00802
                  10,            0.021397,           0.0085034,           0.0026079,             0.89636,             0.89498,             0.93465,             0.80499,            0.011271,           0.0039337,           0.0072851,           0.0077725,           0.0077725,           0.0077725
                  11,            0.021045,           0.0081568,           0.0020423,             0.92042,             0.89302,             0.94563,              0.8211,            0.010522,            0.003731,           0.0077621,            0.007525,            0.007525,            0.007525
                  12,            0.020473,            0.008234,             0.00238,             0.92532,             0.88127,             0.94424,             0.81206,            0.011114,            0.003797,           0.0066499,           0.0072775,           0.0072775,           0.0072775
                  13,            0.020185,           0.0081226,           0.0021662,             0.90097,             0.90701,             0.94268,             0.80597,            0.011124,           0.0037738,           0.0077245,             0.00703,             0.00703,             0.00703
                  14,            0.019458,           0.0079209,            0.002192,             0.91607,             0.90524,             0.94324,             0.82978,             0.01034,           0.0035439,           0.0082836,           0.0067825,           0.0067825,           0.0067825
                  15,            0.018839,           0.0076532,           0.0019317,             0.91836,             0.89205,             0.94374,               0.838,           0.0097586,           0.0035429,           0.0082165,            0.006535,            0.006535,            0.006535
                  16,            0.018742,           0.0076642,           0.0020366,             0.91916,             0.89628,             0.94261,             0.83443,           0.0099087,           0.0035508,           0.0096653,           0.0062875,           0.0062875,           0.0062875
                  17,            0.018277,           0.0074342,            0.001816,             0.91725,             0.90893,             0.94515,             0.84412,           0.0094068,           0.0034207,           0.0084101,             0.00604,             0.00604,             0.00604
                  18,            0.017574,            0.007416,           0.0015691,             0.91527,             0.91318,             0.94729,             0.84741,           0.0094315,           0.0033623,           0.0088082,           0.0057925,           0.0057925,           0.0057925
                  19,            0.017449,           0.0073523,           0.0017411,              0.9101,             0.91839,             0.95154,             0.85209,            0.009439,           0.0034658,           0.0076951,            0.005545,            0.005545,            0.005545
                  20,             0.01734,           0.0073039,           0.0016038,             0.91091,             0.91818,             0.94676,             0.85371,           0.0090979,           0.0033827,           0.0089242,           0.0052975,           0.0052975,           0.0052975
                  21,            0.016864,           0.0071768,           0.0016028,             0.93757,              0.8987,             0.94977,             0.85822,           0.0091478,           0.0034566,            0.007483,             0.00505,             0.00505,             0.00505
                  22,            0.016302,           0.0070954,           0.0012285,             0.91966,             0.90116,              0.9409,             0.85744,           0.0086407,           0.0033341,           0.0088779,           0.0048025,           0.0048025,           0.0048025
                  23,            0.016116,            0.006971,           0.0014362,             0.92111,             0.90863,              0.9479,             0.85806,           0.0088909,           0.0032943,           0.0084765,            0.004555,            0.004555,            0.004555
                  24,             0.01606,           0.0068173,            0.001186,             0.93114,             0.90743,             0.95272,             0.86538,           0.0086674,           0.0033174,           0.0079254,           0.0043075,           0.0043075,           0.0043075
                  25,            0.015542,           0.0067186,           0.0011889,             0.90794,             0.91156,              0.9459,             0.86109,            0.008363,           0.0031942,            0.009043,             0.00406,             0.00406,             0.00406
                  26,            0.013994,           0.0063422,          0.00065375,             0.91859,             0.90603,             0.94738,             0.86541,           0.0082336,            0.003237,           0.0084595,           0.0038125,           0.0038125,           0.0038125
                  27,            0.013903,           0.0061961,          0.00061792,             0.92028,             0.90835,             0.95073,             0.87182,           0.0082781,           0.0032107,           0.0094461,            0.003565,            0.003565,            0.003565
                  28,            0.013563,           0.0060749,          0.00046249,              0.9324,             0.89335,             0.95028,             0.87274,           0.0084236,           0.0032193,           0.0089671,           0.0033175,           0.0033175,           0.0033175
                  29,            0.013187,           0.0059679,          0.00049607,             0.91677,             0.90538,             0.94555,             0.87013,            0.008132,           0.0031574,           0.0095152,             0.00307,             0.00307,             0.00307
                  30,            0.014102,           0.0064398,           0.0010892,             0.91782,             0.90603,             0.94827,             0.87052,           0.0080246,           0.0031166,           0.0088724,           0.0028225,           0.0028225,           0.0028225
                  31,            0.013908,           0.0063959,          0.00081225,             0.92778,             0.90957,              0.9474,             0.87241,           0.0080042,           0.0030801,           0.0093571,            0.002575,            0.002575,            0.002575
                  32,            0.013786,           0.0061945,          0.00082085,             0.92464,             0.90354,             0.94853,             0.87728,           0.0080014,           0.0030593,           0.0098105,           0.0023275,           0.0023275,           0.0023275
                  33,            0.013374,           0.0061529,          0.00085214,             0.92119,             0.90733,             0.94677,             0.87708,           0.0079348,           0.0030472,            0.009207,             0.00208,             0.00208,             0.00208
                  34,            0.013162,           0.0060959,          0.00067945,             0.92018,             0.89888,             0.94743,             0.87881,           0.0078192,           0.0030406,           0.0099943,           0.0018325,           0.0018325,           0.0018325
                  35,            0.011515,           0.0055687,          0.00034629,             0.90153,             0.90719,             0.94374,             0.87558,           0.0076872,             0.00309,            0.010161,            0.001585,            0.001585,            0.001585
                  36,            0.011286,           0.0053974,          0.00035303,             0.92819,             0.90571,             0.94491,             0.87885,           0.0077109,           0.0030879,            0.010536,           0.0013375,           0.0013375,           0.0013375
                  37,            0.011043,           0.0052588,          0.00025137,             0.92184,             0.91222,             0.94723,             0.88313,           0.0077516,           0.0031121,            0.010576,             0.00109,             0.00109,             0.00109
                  38,            0.010736,           0.0051696,          0.00021157,             0.92049,             0.90676,             0.94488,              0.8797,           0.0076218,           0.0030796,            0.010696,           0.0008425,           0.0008425,           0.0008425
                  39,            0.011141,           0.0054719,           0.0003348,             0.92479,             0.90923,             0.94522,             0.88105,           0.0076399,           0.0029743,             0.01071,            0.000595,            0.000595,            0.000595
